block_id,block_type,grid_width,grid_height,area_cells,area_m2,original_x,original_y,original_z,vertices,faces,file_size_mb,processing_time
2534_202_000,trestle,10,6,60,240.0,20.500473,11.561776,3.221501,9776,6546,0.2103424072265625,4.92610502243042
2534_212_000,trestle,9,9,81,324.0,18.30230800000001,18.267462,3.321001,13770,8573,0.2779998779296875,1.1414220333099365
2534_221_000,trestle,8,13,104,416.0,15.805015000000004,25.807640999999997,9.046612,24659,16302,0.5612335205078125,1.213761329650879
2534_222_000,trestle,10,9,90,360.0,20.507599,17.665499999999998,9.023295,17517,12394,0.394287109375,1.209714412689209
2534_224_000,trestle,9,13,117,468.0,18.65053499999999,25.810095,9.049638000000002,21302,14667,0.3820037841796875,1.1544291973114014
2534_226_000,trestle,8,13,104,416.0,15.250197999999983,25.81068,9.022148999999999,24342,16200,0.4145660400390625,1.2107369899749756
2534_227_000,trestle,9,13,117,468.0,18.500732999999997,25.810095,9.049638000000002,21218,14657,0.3779449462890625,1.299131155014038
2534_229_000,trestle,8,13,104,416.0,15.122130999999996,25.807999,9.03229,25517,16677,0.52783203125,1.328355073928833
2534_231_000,trestle,8,10,80,320.0,15.805015000000004,20.710331,9.045765,17127,11757,0.4182891845703125,1.2858071327209473
2534_232_000,trestle,10,9,90,360.0,20.507599,17.665501,9.020213,17562,12311,0.3907928466796875,1.1747076511383057
2534_234_000,trestle,9,10,90,360.0,18.650550999999993,20.715415999999998,9.049642,15978,11305,0.2922210693359375,1.1522185802459717
2534_236_000,trestle,8,10,80,320.0,15.250182999999993,20.712002,9.022152,19263,13007,0.33001708984375,1.204740285873413
2534_239_000,trestle,8,10,80,320.0,15.122130999999996,20.710998999999997,9.032290999999999,19582,13041,0.427520751953125,1.1880970001220703
2534_241_000,trestle,10,9,90,360.0,20.53311199999999,17.430671,3.2230000000000003,14539,9829,0.291778564453125,1.1438093185424805
2534_251_000,trestle,10,6,60,240.0,20.528014999999982,12.333519,3.220501,8039,5757,0.1794891357421875,1.1520957946777344
2534_281_000,trestle,10,7,70,280.0,20.566238999999996,13.36613,8.419939,10828,7070,0.298583984375,1.180406093597412
2534_282_000,trestle,9,7,63,252.0,18.35569799999999,14.822501,8.676506999999999,11296,6716,0.28717041015625,1.1293213367462158
2534_291_000,trestle,10,7,70,280.0,20.566238999999996,13.36613,8.419942,10772,7007,0.29608154296875,1.117142915725708
2534_292_000,trestle,9,7,63,252.0,18.35569799999999,14.822501,8.676509,10828,6591,0.278289794921875,1.124384880065918
2534_40B,crane,1,20,20,80.0,2.8000029999999896,40.978002000000004,29.612732,47829,26466,0.8016204833984375,1.3905658721923828
2534_40C,crane,1,20,20,80.0,2.800003000000004,40.978002000000004,29.613131,47881,26427,0.7947235107421875,1.276428461074829
2534_40D,crane,1,20,20,80.0,2.800003000000004,40.97818,29.61312,47788,26405,0.7898406982421875,1.4429736137390137
2534_66B,crane,26,6,156,624.0,52.00516499999999,12.391007999999998,10.997480999999997,23571,15154,0.445343017578125,1.3195500373840332
2534_67B,crane,26,6,156,624.0,52.20419299999999,12.391010000000001,10.997484,23376,15095,0.4446258544921875,1.1775474548339844
2535_21D,crane,10,22,220,880.0,20.56944299999998,44.999722,9.038613,44140,29739,0.994537353515625,1.3069708347320557
2535_22D,crane,9,18,162,648.0,18.35569799999999,36.373882,9.049559,35801,21869,0.794464111328125,1.2586073875427246
2535_40D,crane,1,20,20,80.0,2.8001859999999965,40.97818,29.61312,47943,26488,0.7989654541015625,1.2948799133300781
2543_21D,crane,10,25,250,1000.0,19.366150000000005,50.609604,10.453452,51387,34604,1.1926727294921875,1.4395406246185303
2543_22D,crane,9,22,198,792.0,18.714477000000016,44.993062,10.450368000000001,49433,31170,1.1410369873046875,1.4591155052185059
