block_id,block_type,grid_width,grid_height,area_cells,area_m2,original_x,original_y,original_z,vertices,faces,file_size_mb,processing_time
2534_202_000,trestle,21,12,252,252.0,20.500473,11.561776,3.221501,9776,6546,0.2103424072265625,0.03715157508850098
2534_212_000,trestle,18,18,324,324.0,18.30230800000001,18.267462,3.321001,13770,8573,0.2779998779296875,0.03687310218811035
2534_221_000,trestle,16,26,416,416.0,15.805015000000004,25.807640999999997,9.046612,24659,16302,0.5612335205078125,0.06314921379089355
2534_222_000,trestle,21,18,378,378.0,20.507599,17.665499999999998,9.023295,17517,12394,0.394287109375,0.04760003089904785
2534_224_000,trestle,19,26,494,494.0,18.65053499999999,25.810095,9.049638000000002,21302,14667,0.3820037841796875,0.04813551902770996
2534_226_000,trestle,15,26,390,390.0,15.250197999999983,25.81068,9.022148999999999,24342,16200,0.4145660400390625,0.052710533142089844
2534_227_000,trestle,19,26,494,494.0,18.500732999999997,25.810095,9.049638000000002,21218,14657,0.3779449462890625,0.049447059631347656
2534_229_000,trestle,15,26,390,390.0,15.122130999999996,25.807999,9.03229,25517,16677,0.52783203125,0.061338186264038086
2534_231_000,trestle,16,21,336,336.0,15.805015000000004,20.710331,9.045765,17127,11757,0.4182891845703125,0.04915928840637207
2534_232_000,trestle,21,18,378,378.0,20.507599,17.665501,9.020213,17562,12311,0.3907928466796875,0.04604077339172363
2534_234_000,trestle,19,21,399,399.0,18.650550999999993,20.715415999999998,9.049642,15978,11305,0.2922210693359375,0.0398869514465332
2534_236_000,trestle,15,21,315,315.0,15.250182999999993,20.712002,9.022152,19263,13007,0.33001708984375,0.04355311393737793
2534_239_000,trestle,15,21,315,315.0,15.122130999999996,20.710998999999997,9.032290999999999,19582,13041,0.427520751953125,0.05088400840759277
2534_241_000,trestle,21,17,357,357.0,20.53311199999999,17.430671,3.2230000000000003,14539,9829,0.291778564453125,0.0371394157409668
2534_251_000,trestle,21,12,252,252.0,20.528014999999982,12.333519,3.220501,8039,5757,0.1794891357421875,0.030075550079345703
2534_281_000,trestle,21,13,273,273.0,20.566238999999996,13.36613,8.419939,10828,7070,0.298583984375,0.059237003326416016
2534_282_000,trestle,18,15,270,270.0,18.35569799999999,14.822501,8.676506999999999,11296,6716,0.28717041015625,0.03458094596862793
2534_291_000,trestle,21,13,273,273.0,20.566238999999996,13.36613,8.419942,10772,7007,0.29608154296875,0.03217673301696777
2534_292_000,trestle,18,15,270,270.0,18.35569799999999,14.822501,8.676509,10828,6591,0.278289794921875,0.032209157943725586
2534_40B,crane,3,41,123,123.0,2.8000029999999896,40.978002000000004,29.612732,47829,26466,0.8016204833984375,0.09938931465148926
2534_40C,crane,3,41,123,123.0,2.800003000000004,40.978002000000004,29.613131,47881,26427,0.7947235107421875,0.10249161720275879
2534_40D,crane,3,41,123,123.0,2.800003000000004,40.97818,29.61312,47788,26405,0.7898406982421875,0.10011053085327148
2534_66B,crane,52,12,624,624.0,52.00516499999999,12.391007999999998,10.997480999999997,23571,15154,0.445343017578125,0.061440229415893555
2534_67B,crane,52,12,624,624.0,52.20419299999999,12.391010000000001,10.997484,23376,15095,0.4446258544921875,0.05662226676940918
2535_21D,crane,21,45,945,945.0,20.56944299999998,44.999722,9.038613,44140,29739,0.994537353515625,0.11476635932922363
2535_22D,crane,18,36,648,648.0,18.35569799999999,36.373882,9.049559,35801,21869,0.794464111328125,0.08729887008666992
2535_40D,crane,3,41,123,123.0,2.8001859999999965,40.97818,29.61312,47943,26488,0.7989654541015625,0.10021424293518066
2543_21D,crane,19,51,969,969.0,19.366150000000005,50.609604,10.453452,51387,34604,1.1926727294921875,0.14293694496154785
2543_22D,crane,19,45,855,855.0,18.714477000000016,44.993062,10.450368000000001,49433,31170,1.1410369873046875,0.13519883155822754
2550_223_000,trestle,19,26,494,494.0,19.351837000000003,25.809002,9.047736,29547,19665,0.5214691162109375,0.06506657600402832
2550_224_000,trestle,19,26,494,494.0,18.65019200000002,25.809004,9.039727000000001,23859,16819,0.388427734375,0.05682063102722168
2550_225_000,trestle,19,26,494,494.0,18.550018000000023,25.809002,9.020166,21426,14941,0.3719940185546875,0.050121307373046875
2550_233_000,trestle,19,21,399,399.0,19.351837000000003,20.712002,9.047739,22896,15674,0.4202117919921875,0.05246281623840332
2550_234_000,trestle,19,21,399,399.0,18.65019200000002,20.712002,9.040078000000001,17201,12614,0.3004302978515625,0.04235053062438965
2550_235_000,trestle,19,21,399,399.0,18.550018000000023,20.712002,9.02017,17056,12224,0.300445556640625,0.04098105430603027
2550_66B,crane,52,12,624,624.0,52.00043500000001,12.391007999999998,10.997415999999998,22722,14965,0.4729461669921875,0.0566861629486084
2550_67B,crane,52,12,624,624.0,52.19999700000001,12.391010000000001,10.997484,22942,15333,0.476593017578125,0.057949066162109375
2563_21D,crane,21,45,945,945.0,20.56984,44.977234,9.044652,44900,29725,1.06658935546875,0.11946916580200195
2563_221_000,trestle,16,26,416,416.0,15.805142000000004,25.806131999999998,9.045743,24937,16296,0.5744171142578125,0.06701898574829102
2563_222_000,trestle,21,18,378,378.0,20.50629500000001,18.489008,9.009566,17754,12567,0.451080322265625,0.05265688896179199
2563_223_000,trestle,19,26,494,494.0,19.351805999999996,25.809002,8.985999,31253,20871,0.59930419921875,0.08137297630310059
2563_225_000,trestle,19,26,494,494.0,18.5634,25.809002,9.047393,21782,15361,0.4347076416015625,0.06003117561340332
2563_229_000,trestle,15,26,390,390.0,15.172744999999992,25.806,9.040675,26559,17090,0.5730133056640625,0.07156491279602051
2563_22D,crane,18,36,648,648.0,18.40396099999998,36.369362,9.034428,38079,22994,0.86480712890625,0.09773540496826172
2563_231_000,trestle,16,21,336,336.0,15.932903999999994,20.708807,9.045793999999999,17286,11731,0.434600830078125,0.05100607872009277
2563_232_000,trestle,21,18,378,378.0,20.50629500000001,18.489002,9.008262,17900,12582,0.4435272216796875,0.06294560432434082
2563_233_000,trestle,19,21,399,399.0,19.351805999999996,20.712002,8.986002,24219,16621,0.4858245849609375,0.06560444831848145
2563_235_000,trestle,19,21,399,399.0,18.5634,20.712002,9.047396,16387,12089,0.347259521484375,0.04735445976257324
2563_239_000,trestle,15,21,315,315.0,15.158843999999988,20.709,9.039772,20442,13549,0.473480224609375,0.05482912063598633
2567_21D,crane,21,45,945,945.0,20.556992000000008,44.99606,9.043588,44157,29733,1.0062103271484375,0.11521100997924805
2567_223_000,trestle,19,26,494,494.0,19.353484999999992,25.806002,9.032418,29729,19832,0.52587890625,0.07207942008972168
